#{"t_start": 1749460870.6456552, "env_id": "None"}
r,l,t
-14.0,22,19.728215
-11.0,25,19.741821
35.0,76,19.780668
6.5,70,19.815332
-17.0,14,19.822901
31.0,42,19.844837
-15.5,38,19.863954
50.0,76,19.902666
57.5,61,19.934292
39.5,73,19.971507
58.5,67,20.005633
60.0,116,20.06499
-13.5,40,20.08566
43.0,74,21.132952
107.0,123,21.204232
63.5,67,21.246209
1.0,47,21.271741
-9.5,19,21.281758
26.5,35,21.299863
53.5,77,21.339792
-18.5,35,21.357878
11.5,40,21.377985
-3.0,58,21.40726
90.0,111,21.464076
252.5,196,21.563699
29.0,60,21.594883
1.0,57,21.624599
2.5,21,21.635139
-19.5,19,21.644658
-6.0,60,21.675377
49.0,60,21.706047
-36.0,25,21.718152
-4.5,34,21.73573
-2.5,41,21.757403
37.0,28,21.771005
44.0,60,21.802274
-26.0,30,21.817387
-20.0,21,21.829639
28.5,62,21.863736
39.5,53,21.892801
122.5,126,21.97006
-2.5,36,22.005026
121.5,110,22.06213
26.0,57,22.092726
35.5,49,22.119794
-36.0,25,22.13231
-5.5,28,22.146828
122.5,101,22.205456
-10.5,28,23.316811
28.5,42,23.350878
-6.0,35,23.376906
39.5,53,23.408476
-4.5,34,23.432516
-2.5,31,23.44908
99.5,108,23.520818
90.0,81,23.565229
33.5,47,23.594291
31.0,72,23.634405
69.5,98,23.684514
121.5,120,23.769903
17.0,23,23.786631
75.0,86,23.836126
6.0,42,23.86069
156.0,97,23.928115
1.5,65,23.968249
25.5,64,24.006842
-15.0,21,24.018887
95.5,89,24.069144
11.0,67,24.109543
49.5,73,24.148243
14.5,33,24.165761
44.0,40,24.186926
66.5,75,24.227
110.0,131,24.298394
65.5,94,24.347093
268.5,227,24.485792
80.5,74,24.528385
262.0,178,25.814922
-11.5,27,25.829944
-4.5,34,25.852004
-19.0,22,25.864516
-3.0,33,25.890481
61.5,65,25.928596
-11.5,27,25.942124
27.0,58,25.977745
37.5,61,26.019838
-4.5,24,26.032047
125.5,104,26.093571
-12.0,39,26.137238
120.0,91,26.192617
-12.5,21,26.204185
190.5,134,26.280309
175.5,184,26.385715
14.0,60,26.424332
125.0,106,26.484856
226.0,172,26.584782
123.5,137,26.662482
123.0,94,26.711074
7.5,31,26.726589
17.5,36,26.746632
-9.0,32,26.763665
122.0,83,26.806395
153.5,132,26.876825
107.0,98,27.945391
-8.0,43,27.96941
-11.5,27,27.988976
-30.0,41,28.010576
31.0,47,28.034633
91.5,50,28.061185
-16.5,17,28.069697
20.0,51,28.097261
231.5,185,28.192462
64.5,58,28.222106
66.0,62,28.25329
-11.5,22,28.264852
143.5,107,28.319623
9.0,55,28.346781
366.5,155,28.424672
18.5,37,28.443813
-16.5,27,28.457391
79.0,55,28.485095
133.5,112,28.542837
52.5,36,28.560869
-29.0,22,28.572394
-4.5,29,28.586984
121.5,90,28.634377
-11.5,22,28.644947
102.5,86,28.689218
6.5,15,28.696295
80.5,119,28.760156
52.5,76,28.801916
-13.5,20,28.812481
46.5,80,28.853743
84.5,83,28.896508
370.5,214,29.993242
100.5,89,30.061896
372.0,218,30.178571
113.0,109,30.233134
90.0,91,30.28189
227.0,143,30.36454
252.5,156,30.52154
46.5,60,30.552213
118.0,94,30.605505
28.0,44,30.627568
-12.5,21,30.639089
172.5,106,30.693962
172.5,116,30.754229
-8.0,33,30.771331
-39.0,17,30.781261
243.0,174,30.871559
162.0,108,30.927768
82.0,58,30.957327
46.0,52,30.983999
-32.5,26,30.997079
147.5,111,31.05341
116.5,100,31.104092
-14.5,19,31.11366
153.0,134,32.122729
203.5,112,32.190312
-4.0,27,32.204337
428.5,257,32.343954
-13.0,23,32.355494
-33.5,20,32.366084
163.0,124,32.429509
137.5,121,32.49245
118.5,112,32.550322
145.0,91,32.596157
52.0,63,32.627915
294.5,188,32.723984
87.0,58,32.754611
157.5,121,32.833357
10.0,46,32.85648
56.0,77,32.895785
127.5,91,32.941806
18.5,32,32.957352
17.0,33,32.974488
62.5,51,32.99921
-17.0,14,33.006773
7.5,41,33.026813
88.5,82,33.067672
289.0,170,33.152158
184.0,115,34.426388
266.5,185,34.546913
92.5,66,34.583862
212.5,126,34.649577
422.5,241,34.774595
-7.5,21,34.786141
23.5,62,34.817887
29.5,43,34.840922
242.0,153,34.919109
-12.0,24,34.931202
81.5,75,34.968482
-5.5,28,34.983562
333.0,254,35.113477
56.0,52,35.13951
93.5,97,35.190094
450.0,241,35.315767
85.5,84,35.357975
154.0,120,35.420977
99.5,93,35.478765
-1.0,30,36.454844
532.5,311,36.634316
38.5,32,36.649878
94.5,93,36.69671
-0.5,33,36.712376
214.0,125,36.775703
298.0,134,36.842577
178.0,89,36.887768
124.0,100,36.937521
67.0,53,36.964188
-10.0,31,36.979753
-38.0,23,36.991805
256.0,167,37.075005
238.5,127,37.142874
7.0,43,37.165543
89.5,63,37.20157
-17.0,24,37.214167
31.5,45,37.237298
-5.5,28,37.25182
-23.5,10,37.256956
346.0,222,37.369081
-14.0,17,37.377656
57.5,66,37.410346
-15.0,21,37.421926
437.0,268,38.550418
231.0,122,38.617522
22.0,28,38.639545
211.0,132,38.720047
62.0,78,38.761007
65.5,54,38.789383
-16.5,17,38.798868
119.5,68,38.836514
